#Table: J/A+A/425/367/reflex50.dat (http://cdsarc.cds.unistra.fr)
--------------------------------------------------------------------------------------------------------------------------------------------
               |          |n|                    |      |   |       |      |       |     |       |     |   |
               |          |_|                    |      |   |       |      |       |     |       |     |   |
               |          |N|                    |      |   |       |      |       |     |       |     |   |
               |          |a|                    |      |   |       |      |       |     |       |     |   |
               |          |m| R  R        D  D  D|      |  N|       |      |       |     |       |     | No|
   RXC         |Name      |e|Ah Am  RAs  Ed Em Es|     z|gal|   Flux|e_Flux| ObsLum| Aper| LumCor|   NH|tes|r_
---------------|----------|-|--------------------|------|---|-------|------|-------|-----|-------|-----|---|--------------------------------
RXCJ0540.1-4050|S0540     | |05 40 06.3 -40 50 32|0.0358|  1| 14.881|   5.2|  0.827| 15.5|  0.919|  3.5|   |5,9
RXCJ0540.1-4322|A3360     | |05 40 10.0 -43 22 56|0.0850| 36|  4.759|   9.6|  1.497| 11.0|  1.576|  3.8|B  |38,140,141
RXCJ0542.1-2607|CID 36    |b|05 42 09.3 -26 07 25|0.0390|  4|  7.375|   8.9|  0.484| 18.0|  0.504|  1.9|P  |E,120
RXCJ0543.4-4430|          | |05 43 24.4 -44 30 19|0.1637|  3|  4.164|   9.4|  4.761| 12.0|  4.858|  4.6|   |E
RXCJ0545.4-2556|A0548W    | |05 45 27.2 -25 56 20|0.0424|155|  2.440|  13.5|  0.191|  9.5|  0.208|  1.8|P  |2,72
RXCJ0545.5-4756|A3363     | |05 45 30.6 -47 56 26|0.1254|  2|  4.522|   9.4|  3.064| 10.0|  3.225|  6.2|B  |E
RXCJ0547.6-3152|A3364     | |05 47 38.2 -31 52 31|0.1483| 10|  8.526|   7.5|  7.961| 17.5|  7.961|  2.0|   |E
RXCJ0547.7-4723|S0547     | |05 47 45.6 -47 23 24|0.0515|  2|  2.876|  29.6|  0.332| 15.0|  0.339|  6.5|   |E
RXCJ0548.6-2527|A0548E    | |05 48 39.5 -25 27 30|0.0420|237| 14.109|   6.2|  1.076| 21.0|  1.121|  1.9|PL |3
RXCJ0548.8-2154|          | |05 48 50.4 -21 54 43|0.0928|  9|  3.977|  12.3|  1.478| 11.5|  1.540|  3.0|   |E,3
RXCJ0552.8-2103|A0550     | |05 52 52.4 -21 03 25|0.0989| 25| 10.319|   6.8|  4.324| 13.5|  4.552|  4.3|   |E
RXCJ0557.2-3727|S0555     | |05 57 13.2 -37 27 58|0.0442|  4|  7.141|  10.9|  0.604| 17.5|  0.629|  4.0|   |E
RXCJ0600.8-5835|S0560     | |06 00 48.3 -58 35 14|0.0369|  2|  2.600|   7.6|  0.154| 12.5|  0.162|  4.6|   |E
RXCJ0601.7-3959|A3376     | |06 01 45.7 -39 59 34|0.0468| 32| 20.492|   4.8|  1.936| 21.5|  2.038|  5.0|L  |72
RXCJ0605.8-3518|A3378     | |06 05 52.8 -35 18 02|0.1392|  2|  9.393|   6.2|  7.698| 12.5|  8.019|  4.3|   |E
RXCJ0607.0-4928|A3380     | |06 07 01.4 -49 28 60|0.0553|  3|  3.592|  14.4|  0.478| 14.0|  0.493|  4.6|B  |E
